,Open,Close,High,Low,Date
0,68290.5625,72710.578125,74051.8046875,67437.40625,2026-03-04
1,72712.65625,70841.125,73555.7890625,70654.8828125,2026-03-05
2,70842.15625,68136.4921875,71378.5703125,67757.8203125,2026-03-06
3,68136.6875,67272.59375,68515.1640625,66969.2578125,2026-03-07
4,67272.5,65969.78125,68177.7890625,65639.1953125,2026-03-08
5,65969.5859375,68402.3828125,69474.9453125,65858.0078125,2026-03-09
6,68402.71875,69926.921875,71770.8984375,68402.71875,2026-03-10
7,69931.25,70204.8828125,71337.6640625,68998.8671875,2026-03-11
8,70209.765625,70493.4609375,70775.828125,69230.15625,2026-03-12
9,70497.046875,70968.265625,73927.328125,70410.7265625,2026-03-13
10,70965.3828125,71214.625,71291.203125,70339.5859375,2026-03-14
11,71213.6796875,72789.9140625,73173.0078125,70882.421875,2026-03-15
12,72798.171875,74861.0859375,74901.859375,72300.6328125,2026-03-16
13,74855.296875,73922.4765625,75988.3984375,73444.2265625,2026-03-17
14,73936.8515625,71245.578125,74658.9765625,70503.859375,2026-03-18
15,71250.3515625,69912.7890625,71598.84375,68805.5234375,2026-03-19
16,69911.53125,70522.5859375,71346.796875,69398.8828125,2026-03-20
17,70522.46875,68711.5234375,71051.2734375,68602.9140625,2026-03-21
18,68737.4453125,67845.2109375,69561.7734375,67372.875,2026-03-22
19,67843.0,70914.859375,71782.2578125,67458.84375,2026-03-23
20,70912.671875,70517.859375,71371.3046875,68920.6953125,2026-03-24
21,70520.046875,71309.8828125,71985.7421875,70383.59375,2026-03-25
22,71310.1171875,68791.625,71410.390625,68118.3515625,2026-03-26
23,68790.8359375,66338.375,69117.53125,65532.5703125,2026-03-27
24,66338.5,66319.6953125,67232.859375,65906.7421875,2026-03-28
25,66319.6953125,65954.921875,67052.953125,64971.70703125,2026-03-29
26,65958.3515625,66691.4453125,68087.2890625,65759.8046875,2026-03-30
27,66694.5859375,68233.3125,68495.2734375,65950.4375,2026-03-31
28,68232.890625,68078.5546875,69230.359375,67555.359375,2026-04-01
29,68077.8984375,66888.5703125,68633.1484375,65725.2578125,2026-04-02
30,66888.4765625,66820.2578125,67268.6796875,66296.953125,2026-04-03
